pair,horizon_label,horizon_minutes,forecast_k,scenario_actual_k,delta_k,predicted_return_pct,slope_pct_per_1k_delta,intercept_pct,n_events
GBP/USD,6h,360,65.0,65.0,0.0,-0.1344849954625578,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,90.0,25.0,-0.15106628342273914,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,115.0,50.0,-0.1676475713829205,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,140.0,75.0,-0.18422885934310185,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,165.0,100.0,-0.20081014730328317,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,215.0,150.0,-0.23397272322364587,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,12h,720,65.0,-85.0,-150.0,-0.07664716116006441,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,-35.0,-100.0,-0.1079653545356537,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,-10.0,-75.0,-0.12362445122344834,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,15.0,-50.0,-0.13928354791124298,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,40.0,-25.0,-0.15494264459903764,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,65.0,0.0,-0.17060174128683228,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,90.0,25.0,-0.18626083797462692,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,115.0,50.0,-0.20191993466242159,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,140.0,75.0,-0.21757903135021622,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,165.0,100.0,-0.23323812803801086,-0.0006263638675117858,-0.17060174128683228,59
GBP/USD,12h,720,65.0,215.0,150.0,-0.26455632141360014,-0.0006263638675117858,-0.17060174128683228,59
USD/CAD,1m,1,65.0,-85.0,-150.0,-0.10171790892544208,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,-35.0,-100.0,-0.08912077988645728,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,-10.0,-75.0,-0.08282221536696488,0.0002519425807796961,-0.06392652180848767,59
USD/CAD,1m,1,65.0,15.0,-50.0,-0.07652365084747247,0.0002519425807796961,-0.06392652180848767,59
