event_base_id,event_name,currency,impact,history_events,surprise_mean,surprise_std,surprise_median,surprise_abs_mean
162,NAHB Housing Market Index,USD,low,59,-0.8983050847457628,3.521828067893333,-1.0,2.830508474576271
166,Final CPI y/y,EUR,low,59,-0.013559322033898272,0.04718864240414452,0.0,0.02372881355932201
167,Final Core CPI y/y,EUR,low,59,0.0033898305084745623,0.03198114581908863,0.0,0.010169491525423721
168,CPI Flash Estimate y/y,EUR,medium,59,0.06440677966101692,0.24194806500598479,0.0,0.16271186440677962
169,German Prelim CPI m/m,EUR,high,59,0.025423728813559324,0.22787868849151918,0.0,0.16101694915254236
170,German Final CPI m/m,EUR,low,59,0.0016949152542372877,0.013018891098082385,0.0,0.0016949152542372877
171,French Final CPI m/m,EUR,low,59,0.015254237288135594,0.06647156333151664,0.0,0.03559322033898305
172,Italian Prelim CPI m/m,EUR,low,59,0.1457627118644068,0.4116082980206006,0.1,0.26101694915254237
173,CPI q/q,NZD,high,20,0.11000000000000001,0.2751076344384427,0.09999999999999987,0.2
174,National Core CPI y/y,JPY,low,59,0.02033898305084746,0.07138931876289857,0.0,0.050847457627118633
175,Tokyo Core CPI y/y,JPY,medium,59,-0.0016949152542373048,0.1634662523683551,0.0,0.12372881355932197
176,SPPI y/y,JPY,low,59,0.0033898305084745753,0.20841445917054335,0.0,0.15254237288135594
177,Prelim Unit Labor Costs q/q,USD,low,20,-0.004999999999999916,0.9572301048777201,-0.15000000000000013,0.805
178,Revised Unit Labor Costs q/q,USD,low,19,0.015789473684210437,0.8839703098927757,-0.19999999999999996,0.7105263157894736
179,Employment Cost Index q/q,USD,high,20,0.019999999999999973,0.16415653633362465,0.0,0.13000000000000003
180,Average Earnings Index 3m/y,GBP,medium,59,0.13898305084745768,0.3528294250144807,0.09999999999999964,0.25762711864406784
181,Average Cash Earnings y/y,JPY,low,60,-0.048333333333333346,0.7922274255447805,-0.09999999999999987,0.6083333333333333
182,Wage Price Index q/q,AUD,high,19,-0.05263157894736842,0.08411910241920598,-0.09999999999999998,0.07368421052631578
183,Labor Cost Index q/q,NZD,low,20,-0.014999999999999996,0.13088765773505312,0.0,0.10500000000000001
186,Richmond Manufacturing Index,USD,medium,59,-1.3389830508474576,7.840236998290481,0.0,6.491525423728813
